disease,symptoms,aliases
abdominal aortic aneurysm,arm swelling;back pain;burning abdominal pain;palpitations;sharp abdominal pain;shortness of breath,
abdominal hernia,ache all over;groin mass;irregular belly button;lower abdominal pain;regurgitation;regurgitation.1;sharp abdominal pain;swollen abdomen;symptoms of the scrotum and testes;upper abdominal pain,
abscess of nose,coryza;cough;fever;irritable infant;nasal congestion;sinus congestion;sore throat;vomiting,
abscess of the lung,cough;depressive or psychotic symptoms;itchy eyelid;shortness of breath,
abscess of the pharynx,cough;difficulty in swallowing;fever;headache;nasal congestion;sharp chest pain;sore throat;throat swelling,
acanthosis nigricans,acne or pimples;skin growth;skin lesion;weight gain,
acariasis,emotional symptoms;itching of skin;skin rash;swelling of scrotum,
achalasia,chest tightness;cough;difficulty in swallowing;sharp chest pain;throat feels tight,
acne,"abnormal appearing skin;acne or pimples;irregular appearing scalp;long menstrual periods;skin dryness, peeling, scaliness, or roughness;skin growth;skin moles;skin rash;skin swelling",
actinic keratosis,"abnormal appearing skin;irregular appearing scalp;itching of skin;skin dryness, peeling, scaliness, or roughness;skin growth;skin irritation;skin lesion;skin moles;skin rash;skin swelling;symptoms of the face",
acute bronchiolitis,coryza;cough;decreased appetite;difficulty breathing;fever;hurts to breath;irritable infant;nasal congestion;pulling at ears;shortness of breath;vomiting;wheezing,
acute bronchitis,congestion in chest;coryza;cough;coughing up sputum;difficulty breathing;fever;headache;nasal congestion;sharp chest pain;shortness of breath;sore throat;wheezing,
acute bronchospasm,chest tightness;coryza;cough;difficulty breathing;fever;nasal congestion;sharp chest pain;shortness of breath;sore throat;vomiting;wheezing,
acute fatty liver of pregnancy (aflp),emotional symptoms;sharp abdominal pain,
acute glaucoma,blindness;diminished vision;double vision;eye redness;foreign body sensation in eye;pain in eye;spots or clouds in vision;symptoms of eye,
acute kidney injury,dizziness;kidney mass;nausea;peripheral edema;retention of urine;sharp abdominal pain;sharp chest pain;shortness of breath;symptoms of the kidneys;vomiting;weakness,
acute otitis media,coryza;cough;diminished hearing;ear pain;fever;fluid in ear;nasal congestion;plugged feeling in ear;redness in ear;sore throat,
acute pancreatitis,abusing alcohol;back pain;burning abdominal pain;diarrhea;hemoptysis;lower body pain;nausea;sharp abdominal pain;sharp chest pain;side pain;upper abdominal pain;vomiting,
acute respiratory distress syndrome (ards),chest tightness;chills;cough;depressive or psychotic symptoms;difficulty breathing;fever;sharp chest pain;shortness of breath;wheezing,
acute sinusitis,coryza;cough;coughing up sputum;ear pain;facial pain;fever;frontal headache;nasal congestion;painful sinuses;sinus congestion;sore throat,
acute stress reaction,abnormal involuntary movements;anxiety and nervousness;burning abdominal pain;depression;depressive or psychotic symptoms;dizziness;fatigue;headache;insomnia;sharp chest pain;shortness of breath,
adhesive capsulitis of the shoulder,ache all over;arm pain;muscle pain;neck pain;shoulder pain;shoulder stiffness or tightness,
adjustment reaction,anxiety and nervousness;delusions or hallucinations;depression;excessive anger;fears and phobias;hostile behavior;insomnia;nightmares;restlessness,
adrenal adenoma,anxiety and nervousness;back weakness;sharp abdominal pain;shortness of breath,
adrenal cancer,diminished hearing;dizziness,
alcohol abuse,abusing alcohol;anxiety and nervousness;depression;depressive or psychotic symptoms;drug abuse;hostile behavior;low self-esteem;smoking problems;vomiting blood,
alcohol intoxication,abnormal involuntary movements;abusing alcohol;anxiety and nervousness;depression;depressive or psychotic symptoms;problems with movement;sharp chest pain;vomiting,
alcohol withdrawal,abnormal involuntary movements;abusing alcohol;antisocial behavior;delusions or hallucinations;depressive or psychotic symptoms;dizziness;fainting;seizures;sharp chest pain;vomiting,
alcoholic liver disease,abnormal involuntary movements;abusing alcohol;diarrhea;peripheral edema;sharp abdominal pain;stomach bloating;weight gain,
allergy,abnormal appearing skin;allergic reaction;cough;fluid retention;itchiness of eye;itching of skin;lip swelling;peripheral edema;skin rash;skin swelling;swollen eye,
allergy to animals,allergic reaction;cough;cross-eyed;nasal congestion;sore throat,
alopecia,acne or pimples;feeling ill;irregular appearing scalp;itching of skin;skin growth;skin rash;skin swelling;too little hair,
alzheimer disease,delusions or hallucinations;depression;depressive or psychotic symptoms;difficulty speaking;disturbance of memory;eye burns or stings;hostile behavior;irregular appearing scalp,
amblyopia,cross-eyed;diminished vision;eye deviation;pain in eye;pus draining from ear,
amyloidosis,anxiety and nervousness;shortness of breath;wrist weakness,
amyotrophic lateral sclerosis (als),abnormal involuntary movements;difficulty in swallowing;difficulty speaking;leg cramps or spasms;weakness,
anal fissure,blood in stool;changes in stool appearance;constipation;lower body pain;pain of the anus;rectal bleeding;sharp abdominal pain;vaginal dryness,
anal fistula,blood in stool;mass in scrotum;pain of the anus;rectal bleeding,
anemia,changes in stool appearance;dizziness;fatigue;melena;nosebleed;shortness of breath;vomiting blood;weakness,
anemia due to chronic kidney disease,ankle swelling;fatigue;peripheral edema;recent weight loss;shortness of breath;weakness,
anemia due to malignancy,difficulty in swallowing;fatigue;flatulence;shortness of breath,
anemia of chronic disease,dizziness;emotional symptoms;feeling ill;weakness,
angina,arm pain;chest tightness;dizziness;hot flashes;increased heart rate;irregular heartbeat;lower body pain;palpitations;sharp chest pain;shortness of breath;sweating,
ankylosing spondylitis,ache all over;back pain;elbow pain;hip pain;knee pain;leg pain;low back pain;lower body pain;paresthesia;stiffness all over,
anxiety,abnormal involuntary movements;anxiety and nervousness;depression;depressive or psychotic symptoms;fears and phobias;headache;increased heart rate;insomnia;irregular heartbeat;palpitations;sharp chest pain;shortness of breath,
aortic valve disease,difficulty breathing;fainting;groin mass;irregular heartbeat;lymphedema;palpitations;peripheral edema;sharp chest pain;shortness of breath,
aphakia,diminished vision;eye burns or stings;spots or clouds in vision;symptoms of eye,
aphthous ulcer,cough;fever;headache;mouth pain;mouth ulcer;sore throat;tongue lesions;toothache,
aplastic anemia,fatigue;fever;lack of growth;nausea;slurring words;weakness,
appendicitis,burning abdominal pain;decreased appetite;diarrhea;fever;lower abdominal pain;nausea;sharp abdominal pain;side pain;stomach bloating;upper abdominal pain;vomiting,
arrhythmia,chest tightness;dizziness;fainting;fatigue;leg cramps or spasms;palpitations;sharp chest pain;shortness of breath,
arthritis of the hip,ache all over;back pain;groin pain;hip pain;hip stiffness or tightness;joint pain;knee pain;leg pain;low back pain;lower body pain;pelvic pain;problems with movement,
ascending cholangitis,fever;jaundice;retention of urine;sharp abdominal pain;shortness of breath,
asperger syndrome,antisocial behavior;anxiety and nervousness;depression;depressive or psychotic symptoms;excessive anger;fainting;hostile behavior;lack of growth,
aspergillosis,knee lump or mass;shortness of breath,
asthma,allergic reaction;chest tightness;coryza;cough;coughing up sputum;difficulty breathing;fever;nasal congestion;sharp chest pain;shortness of breath;wheezing,
astigmatism,diminished vision;double vision;eye deviation;foreign body sensation in eye;lacrimation;pain in eye;spots or clouds in vision;symptoms of eye,
atelectasis,cough;dizziness;headache;sharp chest pain;shortness of breath;sore throat,
athlete's foot,"abnormal appearing skin;foot or toe pain;foot or toe swelling;irregular appearing nails;skin dryness, peeling, scaliness, or roughness;skin lesion;skin rash;skin swelling",
atonic bladder,emotional symptoms;impotence;retention of urine;suprapubic pain;symptoms of bladder,
atrial fibrillation,decreased heart rate;dizziness;fatigue;increased heart rate;irregular heartbeat;palpitations;sharp chest pain;shortness of breath,
atrial flutter,chest tightness;frequent urination;increased heart rate;irregular heartbeat;palpitations;sharp chest pain;shortness of breath;swollen lymph nodes,
atrophic skin condition,abnormal appearing skin;acne or pimples;lip swelling;skin growth;skin irritation;skin lesion;skin moles;skin swelling;wrinkles on skin,
atrophic vaginitis,blood in urine;frequent urination;involuntary urination;pain during intercourse;painful urination;suprapubic pain;vaginal discharge;vaginal itching,
atrophy of the corpus cavernosum,abnormal appearing skin;bumps on penis;frequent urination;impotence;skin growth,
attention deficit hyperactivity disorder (adhd),antisocial behavior;anxiety and nervousness;depression;depressive or psychotic symptoms;drug abuse;hostile behavior;lack of growth;restlessness;temper problems,
autism,antisocial behavior;constipation;depressive or psychotic symptoms;difficulty speaking;hostile behavior;lack of growth;long menstrual periods;seizures;temper problems,
autonomic nervous system disorder,decreased appetite;difficulty in swallowing;dizziness;headache;leg pain,
avascular necrosis,drug abuse;hip pain;knee pain;shoulder pain,
balanitis,abnormal appearing skin;cough;diaper rash;itching of skin;painful urination;penis pain;penis redness;skin rash;suprapubic pain,
bell palsy,abnormal involuntary movements;diminished vision;facial pain;focal weakness;headache;loss of sensation;peripheral edema;symptoms of eye;symptoms of the face;weakness,
benign kidney cyst,blood in urine;impotence;involuntary urination;low back pain;sharp abdominal pain;side pain;vomiting,
benign paroxysmal positional vertical (bppv),dizziness;fainting;frontal headache;headache;irregular heartbeat;nausea;problems with movement;vomiting;weakness,
benign prostatic hyperplasia (bph),blood in urine;excessive urination at night;frequent urination;hesitancy;impotence;involuntary urination;low urine output;pain in testicles;retention of urine;swelling of scrotum;symptoms of bladder;symptoms of prostate,
benign vaginal discharge (leukorrhea),burning abdominal pain;frequent urination;pain during pregnancy;painful urination;problems during pregnancy;sharp abdominal pain;suprapubic pain;vaginal discharge;vaginal itching;vaginal redness,
bipolar disorder,abusing alcohol;anxiety and nervousness;delusions or hallucinations;depression;depressive or psychotic symptoms;excessive anger;fears and phobias;insomnia;obsessions and compulsions;temper problems,
birth trauma,arm stiffness or tightness;depressive or psychotic symptoms;emotional symptoms,
bladder cancer,bladder mass;blood in urine;excessive urination at night;groin mass;mass in scrotum;retention of urine;symptoms of bladder,
bladder disorder,blood in urine;frequent urination;involuntary urination;lower abdominal pain;painful urination;retention of urine;sharp abdominal pain;suprapubic pain;symptoms of bladder,
bladder obstruction,bedwetting;frequent urination;hesitancy;impotence;involuntary urination;retention of urine;suprapubic pain;symptoms of bladder,
blepharitis,diminished vision;eye burns or stings;eye redness;eyelid swelling;itchiness of eye;lacrimation;pain in eye;spots or clouds in vision;swollen eye;symptoms of eye;white discharge from eye,
blepharospasm,abnormal movement of eyelid;diminished vision;headache;low back weakness,
bone cancer,fatigue;leg pain;low back pain;peripheral edema;problems with movement,
bone disorder,back pain;bones are painful;difficulty speaking;knee pain;leg cramps or spasms;leg pain;muscle stiffness or tightness,
bone spur of the calcaneous,ankle pain;elbow pain;foot or toe pain;foot or toe swelling;leg pain,
brachial neuritis,arm pain;back pain;elbow pain;hand or finger pain;hand or finger weakness;headache;loss of sensation;low back pain;neck pain;paresthesia;shoulder pain,
brain cancer,decreased appetite;difficulty speaking;disturbance of memory;focal weakness;headache;seizures;slurring words;weakness,
breast cancer,bleeding or discharge from nipple;hot flashes;lump or mass of breast;pain or soreness of breast,
breast cyst,lump or mass of breast;pain or soreness of breast;skin growth;vaginal dryness,
breast infection (mastitis),abnormal appearing skin;bleeding or discharge from nipple;chills;fever;lump or mass of breast;mouth dryness;pain or soreness of breast;postpartum problems of the breast;skin growth,
broken tooth,bleeding gums;difficulty eating;dry lips;facial pain;gum pain;lip swelling;toothache,
bunion,foot or toe lump or mass;foot or toe pain;knee pain;skin growth;skin moles,
burn,hand or finger pain;headache;knee pain;skin irritation;wrist pain;wrist swelling,
bursitis,arm pain;arm stiffness or tightness;arm swelling;elbow pain;elbow swelling;hip pain;knee pain;knee swelling;leg pain;leg swelling;shoulder pain;shoulder stiffness or tightness,
callus,abnormal appearing skin;acne or pimples;foot or toe pain;foot or toe swelling;irregular appearing nails;skin growth;skin lesion;skin rash;skin swelling,
carbon monoxide poisoning,depressive or psychotic symptoms;dizziness;emotional symptoms;headache;nausea;vomiting,
carcinoid syndrome,involuntary urination;knee lump or mass,
cardiac arrest,arm swelling;decreased heart rate;difficulty breathing;irregular heartbeat;palpitations;sharp chest pain;shortness of breath;weakness,
cardiomyopathy,chest tightness;decreased heart rate;fatigue;heartburn;irregular heartbeat;peripheral edema;sharp chest pain;shortness of breath,
carpal tunnel syndrome,arm pain;arm weakness;elbow pain;hand or finger pain;hand or finger stiffness or tightness;hand or finger swelling;loss of sensation;neck pain;paresthesia;wrist pain;wrist swelling,
cat scratch disease,groin mass;itchy eyelid;skin swelling,
cataract,abnormal movement of eyelid;blindness;cloudy eye;diminished vision;double vision;itchiness of eye;lacrimation;pain in eye;spots or clouds in vision;symptoms of eye,
celiac disease,nausea;peripheral edema;regurgitation.1;sharp abdominal pain;sharp chest pain;vomiting,
cellulitis or abscess of mouth,abnormal appearing skin;difficulty in swallowing;lip swelling;skin growth;sore throat;throat swelling;toothache,
central atherosclerosis,blood in urine;fatigue;irregular heartbeat;shortness of breath,
central retinal artery or vein occlusion,blindness;diminished vision;foreign body sensation in eye;irregular heartbeat;pain in eye;symptoms of eye,
cerebral edema,arm pain;dizziness;focal weakness;headache;neck pain;vomiting,
cerebral palsy,blindness;cramps and spasms;infant feeding problem;lack of growth;problems with movement;seizures,
cervical cancer,heavy menstrual flow;jaundice;pelvic pain;vaginal discharge;vaginal itching;vulvar irritation,
cervical disorder,pain during intercourse;pelvic pain;sharp abdominal pain;vaginal itching,
cervicitis,nausea;pain during pregnancy;painful urination;pelvic pain;sharp abdominal pain;suprapubic pain;vaginal discharge;vaginal itching,
chalazion,diminished vision;eye redness;eyelid swelling;foreign body sensation in eye;lacrimation;mass on eyelid;pain in eye;skin growth;swollen eye;symptoms of eye,
chickenpox,abnormal appearing skin;cough;fever;itching of skin;pain in testicles;skin rash,
chlamydia,lower abdominal pain;pelvic pain;sharp abdominal pain;vaginal discharge;vaginal itching;vaginal pain,
cholecystitis,back pain;burning abdominal pain;lower body pain;nausea;regurgitation.1;sharp abdominal pain;sharp chest pain;side pain;stomach bloating;symptoms of the kidneys;upper abdominal pain;vomiting,
choledocholithiasis,chills;decreased appetite;jaundice;nausea;sharp abdominal pain;sharp chest pain;side pain;upper abdominal pain;vomiting,
cholesteatoma,diminished hearing;muscle swelling;nasal congestion;pus draining from ear,
chondromalacia of the patella,bones are painful;knee pain;knee swelling;knee weakness;leg pain;problems with movement,
chorioretinitis,diminished vision;double vision;muscle swelling;pain in eye;spots or clouds in vision,
chronic back pain,back cramps or spasms;back pain;back stiffness or tightness;groin pain;hip pain;leg pain;loss of sensation;low back pain;lower body pain;neck pain;side pain,
chronic constipation,blood in stool;burning abdominal pain;changes in stool appearance;constipation;lower abdominal pain;nausea;pain of the anus;rectal bleeding;retention of urine;sharp abdominal pain;vomiting,
chronic glaucoma,diminished vision;eye burns or stings;foreign body sensation in eye;itchiness of eye;lacrimation;mass on eyelid;pain in eye;spots or clouds in vision;symptoms of eye;white discharge from eye,
chronic inflammatory demyelinating polyneuropathy (cidp),dizziness;loss of sensation;problems with movement;weakness,
chronic kidney disease,fatigue;feeling cold;peripheral edema;shortness of breath;symptoms of the kidneys,
chronic knee pain,back pain;hip pain;joint pain;knee pain;knee stiffness or tightness;knee swelling;knee weakness;leg pain;leg swelling,
chronic obstructive pulmonary disease (copd),chest tightness;congestion in chest;coryza;cough;coughing up sputum;fever;nasal congestion;sharp chest pain;shortness of breath;sore throat;wheezing,
chronic otitis media,allergic reaction;cough;ear pain;fever;fluid in ear;nasal congestion;painful sinuses;plugged feeling in ear;pulling at ears;redness in ear,
chronic pain disorder,ache all over;back pain;headache;hip pain;knee pain;leg pain;low back pain;pelvic pain;sharp abdominal pain;shoulder pain,
chronic pancreatitis,abusing alcohol;ache all over;back pain;diarrhea;nausea;sharp abdominal pain;skin growth;vomiting,
chronic rheumatic fever,chest tightness;dizziness;increased heart rate;palpitations;sharp chest pain;shortness of breath;throat feels tight,
chronic sinusitis,congestion in chest;cough;ear pain;facial pain;fever;frontal headache;headache;painful sinuses;sinus congestion;sore throat,
chronic ulcer,skin lesion;skin pain,
cirrhosis,abdominal distention;blood in stool;peripheral edema;regurgitation;regurgitation.1;sharp abdominal pain;shortness of breath;upper abdominal pain;vomiting blood,
coagulation (bleeding) disorder,blood in urine;eye redness;knee swelling;leg pain;melena,
cold sore,lip sore;lip swelling;mouth ulcer;skin rash;skin swelling;sore throat;vaginal itching,
colonic polyp,blood in stool;diarrhea;flatulence;heartburn;pain of the anus;rectal bleeding;sharp abdominal pain;upper abdominal pain,
colorectal cancer,blood in stool;drainage in throat;mass or swelling around the anus;pain of the anus;rectal bleeding;sharp abdominal pain,
common cold,chills;coryza;cough;ear pain;fever;flu-like syndrome;headache;nasal congestion;sore throat;vomiting;wheezing,
complex regional pain syndrome,abnormal involuntary movements;ache all over;arm pain;back pain;foot or toe pain;hand or finger pain;leg pain;loss of sensation;low back pain;neck pain;paresthesia;problems with movement,
concussion,back pain;difficulty speaking;disturbance of memory;dizziness;double vision;facial pain;headache;nausea;neck pain;rib pain;sleepiness;vomiting,
conduct disorder,abusing alcohol;depression;depressive or psychotic symptoms;excessive anger;fainting;hostile behavior;hysterical behavior;lack of growth;seizures;temper problems,
conductive hearing loss,difficulty speaking;diminished hearing;dizziness;ear pain;fluid in ear;hoarse voice;low self-esteem;plugged feeling in ear;redness in ear;ringing in ear,
congenital heart defect,arm swelling;hand or finger stiffness or tightness;lack of growth;sharp chest pain,
congenital malformation syndrome,diminished hearing;gum pain;lack of growth;seizures,
conjunctivitis,coryza;cough;eye redness;fever;itchiness of eye;lacrimation;nasal congestion;pain in eye;sore throat;swollen eye;white discharge from eye,
conjunctivitis due to allergy,allergic reaction;cough;diminished vision;eye burns or stings;eye redness;itchiness of eye;lacrimation;nasal congestion;pain in eye;sneezing;swollen eye;symptoms of eye,
conjunctivitis due to bacteria,abnormal appearing skin;cough;eye redness;fever;nasal congestion;sore throat,
conjunctivitis due to virus,cough;diminished vision;eye redness;fever;itchiness of eye;lacrimation;nasal congestion;pain in eye;swollen eye;white discharge from eye,
connective tissue disorder,difficulty in swallowing;feeling ill;joint pain,
contact dermatitis,"abnormal appearing skin;acne or pimples;allergic reaction;itching of skin;skin dryness, peeling, scaliness, or roughness;skin irritation;skin lesion;skin moles;skin rash;skin swelling;swollen eye",
conversion disorder,anxiety and nervousness;cough;depression;seizures,
cornea infection,diminished vision;eye burns or stings;eye redness;foreign body sensation in eye;itchiness of eye;lacrimation;lip swelling;pain in eye;spots or clouds in vision;swollen eye;symptoms of eye,
corneal abrasion,diminished vision;eye redness;eyelid swelling;foreign body sensation in eye;itchiness of eye;lacrimation;pain in eye;symptoms of eye;white discharge from eye,
corneal disorder,diminished vision;double vision;eye redness;foreign body sensation in eye;itchiness of eye;lacrimation;pain in eye;spots or clouds in vision;symptoms of eye;white discharge from eye,
coronary atherosclerosis,burning chest pain;chest tightness;fatigue;irregular heartbeat;leg cramps or spasms;palpitations;sharp chest pain;shortness of breath,
cranial nerve palsy,abnormal involuntary movements;abnormal movement of eyelid;difficulty speaking;diminished vision;double vision;facial pain;headache;symptoms of the face,
crohn disease,blood in stool;burning abdominal pain;diarrhea;nausea;pain of the anus;rectal bleeding;regurgitation;regurgitation.1;sharp abdominal pain;vomiting,
croup,abnormal breathing sounds;coryza;cough;fever;hoarse voice;nasal congestion;pulling at ears;shortness of breath;sore throat;vomiting;wheezing,
crushing injury,foot or toe pain;hand or finger pain;hand or finger stiffness or tightness;hand or finger swelling;knee swelling;neck swelling,
cryptococcosis,cross-eyed;depressive or psychotic symptoms,
cryptorchidism,lack of growth;swelling of scrotum;symptoms of the scrotum and testes,
cushing syndrome,emotional symptoms;weight gain,
cyst of the eyelid,abnormal movement of eyelid;diminished vision;mass on eyelid;muscle swelling;skin growth,
cystic fibrosis,cough;decreased appetite;feeling ill;intermenstrual bleeding,
cysticercosis,elbow weakness;headache;seizures;shortness of breath,
cystitis,back pain;blood in urine;frequent urination;involuntary urination;lower abdominal pain;painful urination;pelvic pain;retention of urine;sharp abdominal pain;side pain;suprapubic pain;symptoms of bladder,
de quervain disease,abnormal involuntary movements;arm pain;hand or finger pain;hand or finger swelling;shoulder pain;wrist pain;wrist swelling,
decubitus ulcer,difficulty speaking;incontinence of stool;skin lesion;skin on leg or foot looks infected,
deep vein thrombosis (dvt),abnormal appearing skin;arm swelling;foot or toe swelling;leg cramps or spasms;leg pain;leg stiffness or tightness;leg swelling,
degenerative disc disease,arm pain;back pain;hip pain;joint pain;leg pain;loss of sensation;low back pain;lower body pain;neck pain;paresthesia;shoulder pain,
delirium,abnormal involuntary movements;delusions or hallucinations;depression;depressive or psychotic symptoms;difficulty speaking;disturbance of memory;focal weakness;hostile behavior;problems with movement;slurring words,
dementia,abnormal involuntary movements;delusions or hallucinations;depressive or psychotic symptoms;disturbance of memory;focal weakness;hostile behavior;insomnia;problems with movement,
dengue fever,sore throat;wrist pain,
dental caries,ear pain;facial pain;gum pain;jaw swelling;mouth pain;neck swelling;pain in gums;peripheral edema;restlessness;skin irritation;skin swelling;toothache,
depression,abusing alcohol;anxiety and nervousness;delusions or hallucinations;depression;depressive or psychotic symptoms;disturbance of memory;drug abuse;excessive anger;hostile behavior;insomnia;temper problems,
dermatitis due to sun exposure,"abnormal appearing skin;acne or pimples;irregular appearing scalp;lack of growth;skin dryness, peeling, scaliness, or roughness;skin lesion;skin moles;skin rash;skin swelling",
developmental disability,antisocial behavior;delusions or hallucinations;depressive or psychotic symptoms;difficulty speaking;fears and phobias;hostile behavior;lack of growth;obsessions and compulsions;restlessness;seizures;temper problems,
deviated nasal septum,abnormal breathing sounds;allergic reaction;apnea;difficulty breathing;facial pain;headache;nasal congestion;nosebleed;painful sinuses;sore throat,
diabetes,thirst;weight gain,
diabetes insipidus,dizziness;emotional symptoms,
diabetic ketoacidosis,decreased appetite;depressive or psychotic symptoms;diarrhea;fluid retention;frequent urination;nausea;sharp abdominal pain;sharp chest pain;vomiting;weakness,
diabetic kidney disease,blood in stool;impotence,
diabetic peripheral neuropathy,foot or toe pain;foot or toe stiffness or tightness;foot or toe swelling;leg pain;loss of sensation;lymphedema;paresthesia;problems with movement;skin lesion,
diabetic retinopathy,abnormal movement of eyelid;diminished vision;double vision;foreign body sensation in eye;itchiness of eye;lacrimation;pain in eye;spots or clouds in vision;symptoms of eye,
diaper rash,blood in stool;cough;diaper rash;diarrhea;fever;irritable infant;nasal congestion;pulling at ears;skin rash;temper problems;vomiting,
dislocation of the ankle,ankle pain;ankle swelling;emotional symptoms;foot or toe pain,
dislocation of the elbow,arm pain;arm stiffness or tightness;depression;elbow pain;elbow swelling;irritable infant;wrist pain,
dislocation of the finger,difficulty speaking;hand or finger pain;hand or finger stiffness or tightness;hand or finger swelling;wrist pain,
dislocation of the foot,elbow weakness;foot or toe pain;vomiting,
dislocation of the hip,abusing alcohol;hip pain;leg pain,
dislocation of the knee,knee pain;knee stiffness or tightness;knee swelling,
dislocation of the patella,knee pain;knee stiffness or tightness;knee swelling,
dislocation of the shoulder,arm pain;arm stiffness or tightness;arm swelling;neck mass;shoulder pain;wrist pain,
dislocation of the vertebra,back pain;elbow weakness;leg pain;low back pain;neck pain,
dislocation of the wrist,arm pain;depression;elbow weakness;hand or finger pain,
dissociative disorder,anxiety and nervousness;back weakness;depressive or psychotic symptoms;disturbance of memory;excessive anger,
diverticulitis,blood in stool;burning abdominal pain;chills;constipation;diarrhea;fever;lower abdominal pain;nausea;sharp abdominal pain;side pain;upper abdominal pain;vomiting,
diverticulosis,blood in stool;diarrhea;heartburn;lower abdominal pain;melena;nausea;rectal bleeding;sharp abdominal pain;upper abdominal pain;vomiting,
down syndrome,cough;decreased appetite;difficulty speaking;lack of growth;nasal congestion;seizures,
drug abuse,abusing alcohol;antisocial behavior;anxiety and nervousness;delusions or hallucinations;depression;depressive or psychotic symptoms;drug abuse;hostile behavior;smoking problems;sweating,
drug abuse (barbiturates),abnormal involuntary movements;anxiety and nervousness;delusions or hallucinations;depression;drug abuse;hostile behavior,
drug abuse (cocaine),abusing alcohol;delusions or hallucinations;depression;depressive or psychotic symptoms;drug abuse;excessive anger;fears and phobias;hostile behavior;sharp chest pain,
drug abuse (methamphetamine),abusing alcohol;anxiety and nervousness;depressive or psychotic symptoms;drug abuse;feeling ill;hostile behavior;palpitations;shortness of breath,
drug abuse (opioids),abusing alcohol;anxiety and nervousness;delusions or hallucinations;depression;depressive or psychotic symptoms;drug abuse;excessive anger;insomnia;restlessness;temper problems,
drug poisoning due to medication,abusing alcohol;depression;depressive or psychotic symptoms;drug abuse;lip swelling;sleepiness;slurring words,
drug reaction,abnormal appearing skin;allergic reaction;dizziness;headache;itching of skin;nausea;peripheral edema;shortness of breath;skin rash;throat swelling;vomiting,
drug withdrawal,anxiety and nervousness;chills;depression;dizziness;nausea;sharp abdominal pain;vomiting,
dry eye of unknown cause,abnormal movement of eyelid;diminished vision;double vision;eye redness;foreign body sensation in eye;itchiness of eye;lacrimation;pain in eye;spots or clouds in vision;symptoms of eye;white discharge from eye,
dumping syndrome,knee lump or mass;nausea;vomiting,
dyshidrosis,abnormal appearing skin;acne or pimples;frequent urination;skin lesion;skin rash,
dysthymic disorder,anxiety and nervousness;depression;depressive or psychotic symptoms;disturbance of memory;excessive anger;insomnia;loss of sex drive;slurring words;temper problems,
ear drum damage,bleeding from ear;cough;diminished hearing;ear pain;fluid in ear;nasal congestion;plugged feeling in ear;pulling at ears;pus draining from ear;redness in ear;ringing in ear,
ear wax impaction,cough;diminished hearing;ear pain;fever;fluid in ear;nasal congestion;plugged feeling in ear;pulling at ears;ringing in ear;sinus congestion,
eating disorder,abusing alcohol;acne or pimples;anxiety and nervousness;decreased appetite;depression;depressive or psychotic symptoms;difficulty eating;insomnia;weight gain,
ectopic pregnancy,dizziness;intermenstrual bleeding;lower abdominal pain;nausea;pain during pregnancy;pelvic pain;sharp abdominal pain;vaginal discharge,
ectropion,eye redness;lacrimation;pain in eye;symptoms of eye;white discharge from eye,
eczema,"abnormal appearing skin;acne or pimples;allergic reaction;cough;irregular appearing scalp;itching of skin;skin dryness, peeling, scaliness, or roughness;skin irritation;skin lesion;skin rash;skin swelling;warts",
edward syndrome,cross-eyed;suprapubic pain,
emphysema,cough;emotional symptoms;sharp chest pain;shortness of breath,
empyema,cough;leg pain;sharp chest pain;shortness of breath,
encephalitis,disturbance of memory;dizziness;headache;insomnia;loss of sensation,
endocarditis,dizziness;increased heart rate;irregular heartbeat;palpitations;sharp chest pain;shortness of breath,
endometrial cancer,absence of menstruation;hot flashes;intermenstrual bleeding;vaginal bleeding after menopause;vaginal itching,
endometrial hyperplasia,back weakness;heavy menstrual flow;involuntary urination;unpredictable menstruation;vaginal bleeding after menopause,
endometriosis,burning abdominal pain;heavy menstrual flow;hot flashes;infertility;intermenstrual bleeding;lower abdominal pain;painful menstruation;pelvic pain;sharp abdominal pain,
endophthalmitis,diminished vision;eye redness;itchiness of eye;pain in eye;painful urination;swollen eye,
envenomation from spider or animal bite,abnormal appearing skin;allergic reaction;arm swelling;fluid retention;foot or toe swelling;hand or finger swelling;itching of skin;paresthesia;skin swelling,
ependymoma,diminished vision;emotional symptoms;headache;pain in eye,
