rank,city_name,country_name,population_2025
1,Tokyo,Japan,37036200
2,Delhi,India,34665600
3,Shanghai,China,30482100
4,Dhaka,Bangladesh,24652900
5,Cairo,Egypt,23074200
6,Sao Paulo,Brazil,22990000
7,Mexico City,Mexico,22752400
8,Beijing,China,22596500
9,Mumbai,India,22089000
10,Osaka,Japan,18921600
11,Chongqing,China,18171200
12,Karachi,Pakistan,18076800
13,Kinshasa,DR Congo,17778500
14,Lagos,Nigeria,17156400
15,Istanbul,Turkey,16236700
16,Kolkata,India,15845200
17,Buenos Aires,Argentina,15752300
18,Manila,Philippines,15230600
19,Guangzhou,China,14878700
20,Lahore,Pakistan,14825800
21,Tianjin,China,14704100
22,Bangalore,India,14395400
23,Rio de Janeiro,Brazil,13923200
24,Shenzhen,China,13545400
25,Moscow,Russia,12737400
26,Chennai,India,12336000
27,Bogota,Colombia,11795800
28,Jakarta,Indonesia,11634100
29,Lima,Peru,11517300
30,Bangkok,Thailand,11391700
31,Paris,France,11346800
32,Hyderabad,India,11337900
33,Nanjing,China,10174900
34,Luanda,Angola,10027900
35,Seoul,South Korea,10025800
36,Chengdu,China,9998870
37,London,United Kingdom,9840740
38,Ho Chi Minh City,Vietnam,9816320
39,Tehran,Iran,9729740
40,Nagoya,Japan,9534790
41,Xi'an,China,9222080
42,Ahmedabad,India,9061820
43,Kuala Lumpur,Malaysia,9000280
44,Wuhan,China,8986480
45,Suzhou,China,8592820
46,Hangzhou,China,8591040
47,Surat,India,8581730
48,Dar es Salaam,Tanzania,8561520
49,Baghdad,Iraq,8141120
50,Shenyang,China,7974270
